Handle,Title,Body (HTML),vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Spain,Price / Spain,Compare At Price / Spain,Included / France,Price / France,Compare At Price / France,Included / Germany,Price / Germany,Compare At Price / Germany,Included / International,Price / International,Compare At Price / International,Included / Japan,Price / Japan,Compare At Price / Japan,Included / Portugal,Price / Portugal,Compare At Price / Portugal,Included / italy,Price / italy,Compare At Price / italy,Status
,Ekoi FDJ Short Sleeve Blue Female Thermal Jersey,,vc44,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories,Jackets,"New Arrivals, __label:New Arrivals",FALSE,Size,0,,,,,00025869    4-C-3,2000,shopify,1,deny,manual,65.99,,TRUE,TRUE,25869,,,,FALSE,,,,,,,,TRUE,,,,,,,kg,,16.8,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,draft
,Ekoi FDJ Short Sleeve White  Female Mesh Summer Jersey,,vc44,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories,Cycling Jersey,"New Arrivals, __label:New Arrivals",FALSE,Size,0,,,,,00025870    4-C-3,250,shopify,1,deny,manual,53.99,,TRUE,TRUE,25870,,,,FALSE,,,,,,,,TRUE,,,,,,,kg,,11.36,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,draft
,Santini Bike Exchange Long Sleeve White  Female  Jersey,,vc44,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories,Long Sleeve Jersey,"New Arrivals, __label:New Arrivals",FALSE,Size,XS,,,,,00025871    4-C-3,1250,shopify,1,deny,manual,59.99,,TRUE,TRUE,25871,,,,FALSE,,,,,,,,TRUE,,,,,,,kg,,12.4,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,draft
,Santini Bike Exchange Short Sleeve Black Female Jersey,,vc44,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories,Cycling Jersey,"New Arrivals, __label:New Arrivals",FALSE,Size,XS,,,,,00025872    4-C-3,250,shopify,1,deny,manual,53.99,,TRUE,TRUE,25872,,,,FALSE,,,,,,,,TRUE,,,,,,,kg,,11.36,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,draft
